Step,clouds01_test2016clouds01_oa,clouds10_test2016clouds10_oa,clouds25_test2016clouds25_oa,clouds50_test2016clouds50_oa,clouds80_test2016_oa,cloudsall_test2016clouds01_oa,cloudsall_test2016clouds10_oa,cloudsall_test2016clouds25_oa,cloudsall_test2016clouds50_oa,cloudsall_test2016_oa,clouds01_test2016clouds01_xe,clouds10_test2016clouds10_xe,clouds25_test2016clouds25_xe,clouds50_test2016clouds50_xe,clouds80_test2016_xe,cloudsall_test2016clouds01_xe,cloudsall_test2016clouds10_xe,cloudsall_test2016clouds25_xe,cloudsall_test2016clouds50_xe,cloudsall_test2016_xe
135232,0.883913000425,0.862700879574,0.889808813731,0.878857533137,0.851428727309,0.82788280646,0.853210508823,0.849323868752,0.865254124006,0.830042143663,0.509013901154,0.543806662162,0.489746133486,0.506652742624,0.621328731378,0.739508112272,0.59586362044,0.627671996752,0.577053288619,0.702907105287
139328,0.88273002704,0.863965372245,0.884297788143,0.879304031531,0.848278959592,0.805280188719,0.865388592084,0.850523372491,0.857706089815,0.79947946469,0.515080283086,0.520220905542,0.499427656333,0.506470769644,0.629044453303,0.792360206445,0.564000725746,0.610308349133,0.623330096404,0.787458697955
143424,0.882452348868,0.880403975646,0.88963051637,0.888864934444,0.846210181713,0.795078078906,0.852811634541,0.873737851779,0.831749796867,0.786649068197,0.508130530516,0.461049218973,0.483620782693,0.459199845791,0.623344103495,0.804459929466,0.595251838366,0.554404079914,0.685547113419,0.800958931446
147520,0.885842263699,0.89208249251,0.898681282997,0.880030632019,0.844337364038,0.792281866074,0.859564701716,0.866866489251,0.826648970445,0.808387776216,0.49408352375,0.425007114808,0.440372884274,0.472029368083,0.602170606454,0.819891194503,0.570353647073,0.584954579671,0.688947538535,0.750649929047
151616,0.879906555017,0.896951417128,0.899984518687,0.867769777775,0.831111013889,0.820421834787,0.857167164485,0.871846656005,0.812411129475,0.832235972087,0.507678220669,0.421415348848,0.423736602068,0.482621908188,0.638746182124,0.737152576447,0.573279877504,0.577160477638,0.703901569049,0.66922112306
155712,0.865579605103,0.901243905226,0.898728092511,0.882421811422,0.847343405088,0.828021685282,0.857978204886,0.875179807345,0.843530615171,0.863309840361,0.551707367102,0.409643789132,0.412358820438,0.428922057152,0.586094141006,0.707975963751,0.579867144426,0.560504476229,0.608249803384,0.563902030389
159808,0.875306049983,0.903803984324,0.895019829273,0.889230906963,0.839272360007,0.844574868679,0.870103995005,0.880598266919,0.847737451394,0.867367764314,0.52227033178,0.385018040737,0.43029354016,0.42704085509,0.610384047031,0.624270598094,0.541442036629,0.52100199461,0.586605111758,0.562953879436
163904,0.878490567207,0.898139894009,0.886329174042,0.901381691297,0.862799684207,0.820223689079,0.873353242874,0.858830153942,0.85216508309,0.870511174202,0.517681191365,0.379917571942,0.450898567835,0.408697247505,0.536329030991,0.670381744703,0.543618877729,0.600147426128,0.6019363602,0.548093388478
168000,0.880014578501,0.903158624967,0.88408011198,0.883500178655,0.840548853079,0.809149285158,0.880424479644,0.858141680559,0.847105105718,0.852770169576,0.507827093204,0.384541879098,0.455208947261,0.492161204418,0.6211536328,0.702992339929,0.537680665652,0.599365115166,0.624564190706,0.616185069084
172096,0.862768809001,0.896494746208,0.880222678185,0.893043855826,0.83723394076,0.818842450778,0.859212478002,0.846911708514,0.861994087696,0.853389680386,0.557730972767,0.418425112963,0.463051577409,0.452298084895,0.62117956082,0.685890495777,0.633204976718,0.620904902617,0.60445690155,0.608720044295
